id,old_id,cod_usuario,codTipoSol,id_sol,fecCreacionSol,horaCracionSol,yeard,pagoSolicitud,intermedioStatus,recepcionador,horaRecepcion,solicitudEncontrado,observacionNE,calificador,buscador,fechaDespacho,pagoSolicitud,tipoDocumento,numFolios,cantDocSolicita,fechaPreEntrega,HoraPreEntrega
,171,18691,1,23617,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,172,18692,1,23618,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,173,18693,1,23619,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,174,18694,1,23620,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,175,177,1,23621,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,176,18695,1,23622,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,177,18695,1,23623,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,178,18696,1,23624,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,179,18697,1,23625,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,180,18698,1,23626,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,181,18699,1,23627,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,182,18700,1,23628,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,183,17036,1,23629,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,184,18701,1,23630,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,185,18702,1,23631,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,186,18703,1,23632,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,187,18704,1,23633,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,188,6644,1,23634,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,189,5973,1,23635,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,190,5973,1,23636,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,191,18705,1,23637,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,192,18706,1,23638,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,193,18708,1,23639,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,194,18709,1,23640,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,195,18710,1,23641,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,196,4065,1,23642,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,197,14834,1,23643,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,198,14834,1,23644,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,199,18711,1,23645,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,200,18712,1,23646,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,201,18713,2,2833,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,202,18713,2,2834,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,203,18713,2,2835,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,204,18714,1,23647,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,205,18715,2,2836,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,206,18716,1,23648,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,207,18713,2,2837,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,208,18717,1,23649,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,209,18718,1,23650,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,210,1177,2,2838,12/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,211,10560,3,1179,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,212,18719,1,23651,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,213,18721,1,23652,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,214,5305,1,23653,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,215,10762,1,23654,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,216,18722,1,23655,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,217,18723,1,23656,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,218,17626,1,23657,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,219,7849,1,23658,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,220,11068,1,23659,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,221,18724,2,2839,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,222,18725,3,1180,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,223,18726,1,23660,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,224,18727,1,23661,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,225,18729,1,23662,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,226,5025,3,1181,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
,227,18730,1,23663,13/01/2015 00:00,12:00:00,2015,,,,,,,,,,,,,,,
